Res.Df,RSS,Df,Sum of Sq,F,Pr(>F),model,signature,p_BH
25,0.323095372061802,NA,NA,NA,NA,~patient,basal,NA
16,0.252078703210445,9,0.0710166688513568,0.50084300707603,0.852981389649062,~patient+organ,basal,1
25,0.106299476709446,NA,NA,NA,NA,~patient,luminal,NA
16,0.078155049400916,9,0.0281444273085302,0.64019583918017,0.748010831813256,~patient+organ,luminal,1
25,0.691373305505441,NA,NA,NA,NA,~patient,AR,NA
16,0.55066619475441,9,0.14070711075103,0.45426063384926,0.8843471809455,~patient+organ,AR,1
25,0.0728644596738121,NA,NA,NA,NA,~patient,NE,NA
16,0.0693364299129777,9,0.00352802976083434,0.0904582614943086,0.999526669717021,~patient+organ,NE,1
25,0.00373565249699033,NA,NA,NA,NA,~patient,cell_cycle,NA
16,0.00254337908679694,9,0.0011922734101934,0.833378392029838,0.596639342058603,~patient+organ,cell_cycle,1
25,0.00172409514939397,NA,NA,NA,NA,~patient,GI,NA
16,0.00102300689251919,9,0.000701088256874784,1.21834870561204,0.349493021468039,~patient+organ,GI,1
25,0.0175434394683127,NA,NA,NA,NA,~patient,squamous,NA
16,0.0143385876121398,9,0.00320485185617294,0.39735534385202,0.918611794717617,~patient+organ,squamous,1
25,0.0131574118949866,NA,NA,NA,NA,~patient,amphicrine,NA
16,0.0105691016187423,9,0.00258831027624424,0.435367229598878,0.896267607475145,~patient+organ,amphicrine,1
25,0.0089851990957898,NA,NA,NA,NA,~patient,hypoxia,NA
16,0.0058762316968302,9,0.00310896739895961,0.940577812254649,0.518315642440031,~patient+organ,hypoxia,1
25,0.000873280795920986,NA,NA,NA,NA,~patient,myc,NA
16,0.000686474854846669,9,0.000186805941074316,0.483775113471508,0.864773740593119,~patient+organ,myc,1
25,0.00547331617333324,NA,NA,NA,NA,~patient,senescence,NA
16,0.00348439557006126,9,0.00198892060327197,1.01476964344755,0.468117913043236,~patient+organ,senescence,1
25,0.00139376337522935,NA,NA,NA,NA,~patient,stress,NA
16,0.000760148994854695,9,0.000633614380374655,1.4818483912168,0.235925788466877,~patient+organ,stress,1
25,0.000664332611666767,NA,NA,NA,NA,~patient,EMT,NA
16,0.000359095502226034,9,0.000305237109440733,1.5111404814402,0.225745150661484,~patient+organ,EMT,1
25,0.00193978582889647,NA,NA,NA,NA,~patient,stemness,NA
16,0.00131055346063751,9,0.000629232368258961,0.853559473113835,0.581434348788118,~patient+organ,stemness,1
25,0.00201396695247679,NA,NA,NA,NA,~patient,angiogenesis,NA
16,0.00106366699971883,9,0.000950299952757963,1.58829985200534,0.200960788173166,~patient+organ,angiogenesis,1
25,0.00135324319872709,NA,NA,NA,NA,~patient,DNA,NA
16,0.000979130057097003,9,0.000374113141630084,0.679266278002436,0.717121349439479,~patient+organ,DNA,1
25,0.00328953966543716,NA,NA,NA,NA,~patient,inflammation,NA
16,0.00204043036237407,9,0.00124910930306309,1.08831881839737,0.421978486870865,~patient+organ,inflammation,1
25,0.000793706811210319,NA,NA,NA,NA,~patient,apoptosis,NA
16,0.000543215385984208,9,0.000250491425226111,0.819781804383226,0.606986660000555,~patient+organ,apoptosis,1
25,0.0057180808348751,NA,NA,NA,NA,~patient,quiescence,NA
16,0.00475373407406249,9,0.000964346760812606,0.360641595582466,0.937861534614257,~patient+organ,quiescence,1
25,0.000752254271605054,NA,NA,NA,NA,~patient,differentiation,NA
16,0.000561314048101968,9,0.000190940223503086,0.604740407576695,0.775738445627321,~patient+organ,differentiation,1
