npar,AIC,BIC,logLik,deviance,Chisq,Chi_df,p_value,model,signature,is.singular,var_pct,p_BH
4,7901.84146940832,7940.38299743714,-3946.92073470416,7893.84146940832,NA,NA,NA,NULL,AR,FALSE,NA,NA
5,1985.49788631623,2033.67479635226,-987.748943158115,1975.49788631623,5918.34358309209,1,0,subclone,AR,FALSE,5.50434605603472,0
6,1987.31348628977,2045.12577833301,-987.656743144887,1975.31348628977,0.184400026455251,1,0.667618880786979,subclone+organ,AR,FALSE,NA,1
4,-135348.663312223,-135310.121784194,67678.3316561114,-135356.663312223,NA,NA,NA,NULL,Inflammation,FALSE,NA,NA
5,-145542.94719142,-145494.770281384,72776.4735957102,-145552.94719142,10196.2838791977,1,0,subclone,Inflammation,FALSE,12.2335537702924,0
6,-145540.947176241,-145483.134884198,72776.4735881205,-145552.947176241,0,1,1,subclone+organ,Inflammation,FALSE,NA,1
4,-195526.789707048,-195488.248179019,97767.3948535241,-195534.789707048,NA,NA,NA,NULL,NE1,FALSE,NA,NA
5,-198751.461203595,-198703.284293559,99380.7306017974,-198761.461203595,3226.67149654674,1,0,subclone,NE1,FALSE,11.2453901405467,0
6,-198749.461202854,-198691.648910811,99380.7306014272,-198761.461202854,0,1,1,subclone+organ,NE1,TRUE,NA,1
4,-194176.232586501,-194137.691058472,97092.1162932506,-194184.232586501,NA,NA,NA,NULL,NE2,FALSE,NA,NA
5,-195845.266461237,-195797.089551201,97927.6332306185,-195855.266461237,1671.03387473593,1,0,subclone,NE2,FALSE,1.61050170943512,0
6,-195843.272962174,-195785.460670131,97927.636481087,-195855.272962174,0.00650093704462051,1,0.935737488879291,subclone+organ,NE2,FALSE,NA,1
4,-117545.739471204,-117507.197943175,58776.869735602,-117553.739471204,NA,NA,NA,NULL,Cycling,FALSE,NA,NA
5,-122794.838176577,-122746.661266541,61402.4190882884,-122804.838176577,5251.09870537276,1,0,subclone,Cycling,TRUE,28.177776114519,0
6,-122792.838176572,-122735.025884529,61402.4190882861,-122804.838176572,0,1,1,subclone+organ,Cycling,TRUE,NA,1
4,-885.399152138484,-846.857624109658,446.699576069242,-893.399152138484,NA,NA,NA,NULL,Glycolysis,FALSE,NA,NA
5,-2640.38924200167,-2592.21233196564,1325.19462100084,-2650.38924200167,1756.99008986319,1,0,subclone,Glycolysis,FALSE,4.2429619584166,0
6,-2642.05249187321,-2584.24019982997,1327.02624593661,-2654.05249187321,3.66324987153939,1,0.0556250335827771,subclone+organ,Glycolysis,FALSE,NA,0.333750201496663
