"sitesbladder","sitesbone","sitesbrain","sitesdura","sitesliver","sitesLN","siteslung","sitesprostate","AveExpr","F","P.Value","adj.P.Val"
"Epithelial cells",-3.38671653576109,-3.64825783764727,-2.23449953482706,-3.4781132183276,-1.38275090235639,-3.46777354517489,0.290973437132157,0.202971323069951,-4.84282103836591,5.32365972408318,6.66908220542254e-05,0.000519270804657258
"Hepotocytes",-1.6469011413349,-5.68770488684594,-1.26308461630342,-1.17593765278834,1.18200373848765,-1.72795815074871,-1.87843536942998,-1.76995768136351,-5.4823410224226,5.26824464681834,7.41815435224655e-05,0.000519270804657258
"B cells",1.62294238972847,0.896312817508748,-2.89512236065476,1.93260576080007,-0.48075574077689,1.88245358521356,-0.507812242411993,1.34418840949253,-4.43599343633334,3.09875326706443,0.00617544247040928,0.0288187315285767
"Neurons",-5.29683768582054,-4.75191319932876,-1.01781290459417,-4.51448005190212,-3.71956545290521,-5.37789469523435,-5.90797330571472,-4.7989635374431,-5.93895710903618,2.66796811610441,0.0155402724133649,0.0543909534467772
"Lymphatic endothelial cells",0.803218861073255,2.34712253968047,-1.26308461630342,-1.0348193583303,1.19738228596989,1.82565219878099,-0.0980597210242338,-0.0352633209249746,-4.98594323086971,2.03710596865248,0.0598068371714946,0.167459144080185
"Adipocytes",-1.97246143037103,-0.312434885186779,-0.924138833684857,-2.04793120343796,-2.58976612843763,-2.26127204373934,-1.7243973332564,0.454299923714762,-4.65997214286358,1.92861912168653,0.0751221137798452,0.175284932152972
"Plasma cells",4.82056813211809,-0.927083378396358,-1.26308461630342,2.85267393828561,0.879197550751332,1.7464138967883,2.20658608603465,1.70853448094794,-5.12739947543824,1.75164302292776,0.108434583344967,0.216869166689935
"Endothelial cells",0.737602854031619,2.40928430388713,-1.26308461630342,2.15397081079977,2.88493864206538,1.89311122017048,1.30122072344515,1.23858201091162,-2.20161230459081,1.61459424286867,0.143276833545714,0.250734458704999
"EndoMT",2.958963635402,2.54286903063167,-1.26308461630342,-1.02141382915323,-0.0885242193544302,-0.832817044572519,-0.606729772752766,-1.25667320944093,-4.90741849844156,1.29463072623618,0.266838891645598,0.415082720337597
"Macrophages",0.330268970263414,1.79741663706561,3.23624110190721,2.31090294170158,1.98201651379632,1.47842798553589,2.47873402449789,0.995051813994028,-1.61844135724093,1.10267196339291,0.376647340413711,0.520644109957509
"T cells",3.73067366239462,0.140685790513297,1.32741089746566,3.03604941318339,0.792394768366955,1.7817478295098,0.291598572056977,2.10841477293915,-2.25313332684195,1.05296678834098,0.409855843511993,0.520644109957509
"Chondrocytes",-0.211843226625657,2.14593282029413,-1.26308461630342,0.230133803468258,-0.587767382270868,-1.39680354234199,-0.698700279776181,0.119563390646981,-5.81447052673119,1.00147210945467,0.446266379963579,0.520644109957509
"Pericytes",0.146405408235472,2.95273524459169,-0.161307768032348,1.91847285152209,1.01500196232686,1.71578636515972,1.09056332784448,1.25025415769157,-3.39910074382668,0.810424561737691,0.59654345669154,0.642431414898582
"Fibroblasts",-1.47280995791101,0.357230882306196,0.212232339565704,0.0607338904516136,-0.885611144046068,-0.393910614461978,-1.46415559605801,-1.30485120314833,-1.63785943941007,0.592396909458665,0.779645656041136,0.779645656041136
